-0.731,-0.761,0.850,3.512,6.499,9.160,11.093,12.191,12.585,12.497,12.124,11.584,10.920,10.144,9.260,8.287,7.266,6.270,5.378,4.647,4.095,3.711,3.477,3.414,3.622,4.298,5.699,8.045,11.450,15.886,21.191,27.065,33.084,38.746,43.541,47.029,48.899,49.011,47.398,44.252,39.880,34.657,28.955,23.054,17.139,11.403,6.154,1.829,-1.124,-2.446,-2.230
1.979,3.876,6.400,9.265,12.055,14.252,15.503,15.818,15.480,14.784,13.868,12.747,11.454,10.103,8.836,7.748,6.866,6.179,5.679,5.379,5.322,5.589,6.327,7.747,10.091,13.546,18.169,23.864,30.392,37.366,44.270,50.521,55.596,59.167,61.133,61.565,60.615,58.456,55.249,51.113,46.095,40.193,33.426,25.963,18.244,11.002,5.122,1.362,0.067,1.038,3.578
7.239,7.139,9.314,12.975,16.865,19.987,22.016,23.161,23.782,24.159,24.338,24.121,23.236,21.714,19.894,18.151,16.614,15.248,14.006,12.943,12.124,11.615,11.510,12.000,13.283,15.464,18.580,22.751,28.058,34.279,40.940,47.533,53.601,58.735,62.748,65.623,67.312,67.678,66.663,64.348,60.860,56.274,50.615,43.942,36.463,28.618,21.018,14.280,8.894,5.220,3.440
9.576,9.453,11.031,14.558,19.181,23.385,26.267,27.618,27.611,26.827,25.700,24.075,21.823,19.399,17.445,16.066,14.914,13.774,12.758,11.962,11.456,11.445,12.029,13.002,14.352,16.582,20.171,24.940,30.380,36.026,41.650,47.173,52.475,57.085,60.378,62.061,62.258,61.114,58.637,54.940,50.218,44.587,38.291,31.758,25.350,19.269,13.797,9.321,6.179,4.620,4.865
-5.019,-1.066,2.867,6.356,8.907,10.200,10.407,9.944,9.079,7.856,6.285,4.484,2.636,0.919,-0.529,-1.700,-2.726,-3.657,-4.352,-4.648,-4.479,-3.858,-2.823,-1.338,0.768,3.672,7.386,11.747,16.526,21.559,26.714,31.691,35.973,39.056,40.686,40.796,39.351,36.322,31.705,25.594,18.322,10.471,2.679,-4.497,-10.488,-14.643,-16.386,-15.604,-12.876,-9.204,-5.304
-0.956,2.330,6.676,11.087,14.668,16.995,18.053,17.982,17.008,15.392,13.266,10.659,7.713,4.746,2.076,-0.129,-1.836,-3.088,-3.939,-4.404,-4.442,-3.995,-3.009,-1.438,0.734,3.498,6.881,10.974,15.825,21.312,27.180,33.138,38.791,43.595,47.070,49.064,49.716,49.217,47.598,44.783,40.793,35.850,30.230,24.081,17.436,10.453,3.599,-2.333,-6.439,-8.092,-7.252
4.204,7.867,11.943,15.488,17.846,19.025,19.318,19.055,18.492,17.708,16.605,15.134,13.421,11.643,9.893,8.308,7.029,6.091,5.508,5.261,5.251,5.427,5.953,7.118,9.094,11.905,15.491,19.640,24.098,28.781,33.784,39.129,44.386,48.829,52.026,53.944,54.515,53.572,51.142,47.572,43.178,37.948,31.749,24.768,17.524,10.735,5.223,1.758,0.883,2.478,5.424
8.806,10.115,12.731,15.797,18.376,19.847,20.194,19.830,19.194,18.604,18.003,17.074,15.769,14.303,12.865,11.539,10.372,9.302,8.276,7.303,6.454,5.822,5.470,5.362,5.459,5.869,6.784,8.250,10.309,13.234,17.340,22.623,28.677,35.093,41.656,47.896,52.939,56.121,57.341,56.881,55.098,52.188,48.422,43.992,38.876,32.931,26.327,19.906,15.114,13.094,13.903
5.697,7.462,10.176,13.302,16.398,19.095,21.157,22.457,22.946,22.682,21.824,20.607,19.273,17.920,16.513,15.103,13.839,12.826,12.054,11.411,10.793,10.264,10.024,10.296,11.319,13.255,16.066,19.657,24.059,29.271,35.028,40.910,46.544,51.575,55.537,57.914,58.411,57.101,54.268,50.189,45.056,39.019,32.282,25.198,18.258,12.013,7.078,4.042,3.150,4.048,5.970
13.115,13.638,15.127,17.013,18.682,19.540,19.436,18.724,17.810,16.888,15.975,14.979,13.775,12.371,10.939,9.686,8.760,8.218,8.012,8.075,8.453,9.275,10.590,12.354,14.572,17.335,20.795,25.098,30.196,35.837,41.754,47.627,52.922,57.070,59.851,61.429,61.886,61.023,58.742,55.161,50.252,43.880,36.358,28.701,22.161,17.375,14.269,12.677,12.606,13.949,16.225
